City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,afaahiti,-17.75,-149.2833,24.93,85,41,3.34,PF,1690524994
1,fuglafjordur,62.244,-6.814,11.26,96,100,7.93,FO,1690524994
2,colonia,50.9333,6.95,19.12,93,100,3.09,DE,1690524801
3,kurmuk,10.55,34.2833,24.56,73,80,1.09,SD,1690524996
4,olonkinbyen,70.9221,-8.7187,5.29,86,100,4.75,SJ,1690524996
5,kembe,4.6228,21.8865,22.42,94,40,0.66,CF,1690524997
6,el calafate,-50.3408,-72.2768,-3.12,65,100,0.39,AR,1690524997
7,vallegrande,-18.4897,-64.1069,10.89,89,78,0.88,BO,1690524998
8,georgetown,5.4112,100.3354,32.96,62,40,3.6,MY,1690524858
9,balrampur,27.4333,82.1833,35.46,50,82,3.03,IN,1690524999
10,enewetak,11.3474,162.3373,28.09,79,100,9.97,MH,1690525000
11,waitangi,-43.9535,-176.5597,8.79,92,100,4.02,NZ,1690525001
12,avarua,-21.2078,-159.775,21.03,88,80,1.03,CK,1690525001
13,al ghayzah,16.2079,52.176,26.71,80,86,4.4,YE,1690525002
14,yellowknife,62.456,-114.3525,18.09,63,75,2.24,CA,1690525003
15,port-aux-francais,-49.35,70.2167,5.16,94,100,9.75,TF,1690525004
16,pokachi,61.7198,75.3683,24.37,48,76,2.6,RU,1690525005
17,kontiolahti,62.7602,29.8471,17.97,82,75,2.06,FI,1690525006
18,kolokani,13.5728,-8.0339,23.88,80,100,1.75,ML,1690525007
19,west island,-12.1568,96.8225,25.99,78,75,8.75,CC,1690525007
20,hermanus,-34.4187,19.2345,11.54,80,0,2.6,ZA,1690525008
21,port elizabeth,-33.918,25.5701,11.16,87,0,2.57,ZA,1690525009
22,isafjordur,66.0755,-23.124,6.73,93,100,3.63,IS,1690525010
23,waingapu,-9.6567,120.2641,27.94,52,5,6.93,ID,1690525010
24,arroyo,41.6096,-4.7969,17.3,80,0,3.09,ES,1690525011
25,port mathurin,-19.6833,63.4167,23.42,80,70,5.13,MU,1690525011
26,atafu village,-8.5421,-172.5159,28.45,76,15,7.02,TK,1690525012
27,karaidel',55.8337,56.9069,24.87,57,9,4.32,RU,1690525013
28,kareli,22.9167,79.0667,31.07,69,97,5.63,IN,1690525013
29,ca mau,9.1769,105.15,31.44,61,79,6.77,VN,1690525014
30,iqaluit,63.7506,-68.5145,5.85,86,75,1.03,CA,1690525015
31,adamstown,-25.066,-130.1015,20.41,68,69,4.58,PN,1690525015
32,puerto natales,-51.7236,-72.4875,-3.1,82,100,1.05,CL,1690525016
33,asadabad,34.7824,48.1185,28.97,19,0,0.62,IR,1690525016
34,grytviken,-54.2811,-36.5092,-5.03,82,80,5.2,GS,1690525017
35,revelstoke,50.9832,-118.2023,16.01,77,0,1.03,CA,1690525017
36,bilibino,68.0546,166.4372,14.78,57,100,4.19,RU,1690525018
37,coeur d'alene,47.6777,-116.7805,21.63,48,0,2.06,US,1690524909
38,kingston,17.997,-76.7936,27.89,81,100,0.45,JM,1690524787
39,albany,42.6001,-73.9662,22.35,92,16,2.07,US,1690524838
40,greenville,35.6127,-77.3663,26.09,96,0,4.12,US,1690524941
41,childress,34.4264,-100.204,28.29,36,0,3.6,US,1690525020
42,syumsi,57.1111,51.6149,25.1,54,25,1.18,RU,1690525021
43,guerrero negro,27.9769,-114.0611,21.29,78,30,3.89,MX,1690525021
44,tabas,33.5959,56.9244,38.07,14,10,0.52,IR,1690525022
45,brookings,44.3114,-96.7984,25.19,79,0,5.66,US,1690525022
46,blackmans bay,-43.0167,147.3167,14.29,59,6,3.1,AU,1690525023
47,margaret river,-33.95,115.0667,15.04,80,96,9.81,AU,1690525023
48,usogorsk,63.4106,48.6872,20.81,63,77,1.92,RU,1690525024
49,lycksele,64.5954,18.6735,14.93,82,20,1.54,SE,1690525024
50,raja,8.4596,25.678,22.4,93,57,1.82,SS,1690525025
51,dudinka,69.4058,86.1778,28.68,34,4,6.93,RU,1690525025
52,las tablas,7.7667,-80.2833,26.21,85,100,0.67,PA,1690525026
53,cockburn town,21.4612,-71.1419,28.33,79,96,8.19,TC,1690525027
54,pitimbu,-7.4706,-34.8086,23.33,85,2,5.01,BR,1690525027
55,puerto ayora,-0.7393,-90.3518,24.19,93,63,1.34,EC,1690525028
56,ust'-kalmanka,52.1207,83.305,24.76,52,98,1.06,RU,1690525029
57,nabire,-3.3667,135.4833,30.75,62,63,2.17,ID,1690525030
58,bengkulu,-3.8004,102.2655,28.86,71,96,4.98,ID,1690525031
59,kavaratti,10.5669,72.642,28.32,77,50,6.42,IN,1690525031
60,wamba,8.9333,8.6,22.52,95,99,0.13,NG,1690525032
61,benjamin hill,30.1667,-111.1,30.24,42,42,3.49,MX,1690525033
62,tomatlan,19.9333,-105.25,24.44,95,31,0.77,MX,1690525034
63,aban,56.67,96.06,24.6,51,99,1.9,RU,1690525034
64,saipan,15.1355,145.701,28.39,100,100,3.09,MP,1690525035
65,klaksvik,62.2266,-6.589,11.51,96,100,7.76,FO,1690525035
66,upata,8.0086,-62.3989,24.0,97,64,1.75,VE,1690525036
67,pandan,14.0453,124.1694,30.92,65,99,3.61,PH,1690525036
68,vadso,70.0744,29.7487,13.49,82,20,4.12,NO,1690525037
69,hasaki,35.7333,140.8333,34.06,72,2,7.15,JP,1690525038
70,lone grove,34.1754,-97.2628,26.73,60,0,2.06,US,1690525038
71,papatowai,-46.5619,169.4708,7.73,81,100,2.31,NZ,1690525039
72,bethel,41.3712,-73.414,23.45,90,0,1.54,US,1690524897
73,santa terezinha,-29.9002,-50.0904,13.08,90,100,1.75,BR,1690525040
74,ghadamis,30.1337,9.5007,33.73,14,0,4.37,LY,1690525040
75,puerto madero,14.7208,-92.4215,27.47,80,39,1.71,MX,1690525041
76,hawaiian paradise park,19.5933,-154.9731,25.73,83,100,3.09,US,1690525042
77,cabedelo,-6.9811,-34.8339,23.37,85,3,5.36,BR,1690525043
78,wuchuan,21.4571,110.7659,35.5,55,59,4.76,CN,1690525043
79,longyearbyen,78.2186,15.6401,6.91,93,75,0.51,SJ,1690525044
80,constantia,44.1833,28.65,19.38,53,0,5.13,RO,1690525044
81,invercargill,-46.4,168.35,8.9,83,98,1.34,NZ,1690525045
82,berezovyy,51.6667,135.7,28.54,56,98,0.32,RU,1690525046
83,haiku-pauwela,20.9219,-156.3051,24.47,74,40,6.69,US,1690525046
84,kirs,59.3388,52.2447,22.24,59,49,4.32,RU,1690525047
85,grand gaube,-20.0064,57.6608,24.65,63,0,3.13,MU,1690525047
86,whitehorse,60.7161,-135.0538,19.43,61,40,2.57,CA,1690525014
87,olyokminsk,60.3736,120.4264,31.14,33,16,3.36,RU,1690525048
88,shenjiamen,29.9576,122.298,28.19,85,100,11.81,CN,1690525049
89,maralal,1.0968,36.698,17.73,64,59,1.68,KE,1690525049
90,kapuskasing,49.4169,-82.4331,18.05,82,40,3.6,CA,1690525050
91,parabel',58.6978,81.4825,22.69,69,32,2.71,RU,1690525050
92,otjiwarongo,-20.4637,16.6477,12.71,40,39,2.21,NA,1690525051
93,mangrol,21.1167,70.1167,28.45,79,99,8.92,IN,1690525053
94,college,64.8569,-147.8028,24.99,64,75,2.57,US,1690525054
95,daru,-9.0763,143.2092,26.15,75,93,7.19,PG,1690525054
96,laguna,38.421,-121.4238,23.58,55,0,4.12,US,1690525055
97,codrington,-38.2667,141.9667,15.76,75,28,3.94,AU,1690525055
98,masterton,-40.9597,175.6575,7.71,96,71,2.05,NZ,1690525056
99,ushuaia,-54.8,-68.3,-2.19,69,0,1.03,AR,1690525056
100,vorgashor,67.5833,63.95,18.2,79,97,2.02,RU,1690525057
101,coquimbo,-29.9533,-71.3436,13.87,84,81,0.94,CL,1690525057
102,quellon,-43.1167,-73.6167,11.14,93,100,7.72,CL,1690525058
103,val-d'or,48.1002,-77.7828,20.05,83,0,3.6,CA,1690525058
104,ad dawadimi,24.5077,44.3924,35.64,9,60,3.88,SA,1690525059
105,hinthada,17.6333,95.4667,32.3,58,99,7.55,MM,1690525059
106,betio village,1.358,172.9211,30.02,74,91,4.48,KI,1690525060
107,nemuro,43.3236,145.575,19.64,93,79,2.4,JP,1690525060
108,red bluff,40.1785,-122.2358,28.38,54,0,3.09,US,1690524817
109,udachny,66.4167,112.4,25.25,38,48,1.03,RU,1690525061
110,inhambane,-23.865,35.3833,20.72,67,1,2.18,MZ,1690525062
111,tiksi,71.6872,128.8694,9.55,59,75,3.98,RU,1690525062
112,souillac,-20.5167,57.5167,24.21,64,75,4.63,MU,1690525063
113,howrah,22.5892,88.3103,33.0,75,75,5.14,IN,1690525063
114,nea ionia,38.0373,23.7595,28.12,44,0,6.69,GR,1690525064
115,oranjemund,-28.55,16.4333,10.67,91,0,3.62,NA,1690525067
116,bauchi,10.5,10.0,23.51,80,100,1.04,NG,1690525068
117,mejit,10.2753,170.8646,28.18,80,100,8.36,MH,1690525068
118,burang,30.25,81.1667,11.96,79,100,2.45,CN,1690525069
119,jamestown,42.097,-79.2353,19.77,99,100,1.54,US,1690525069
120,qaqortoq,60.7167,-46.0333,6.01,78,99,1.74,GL,1690525070
121,la passe,45.5549,-0.8967,20.55,89,100,5.18,FR,1690525070
122,tual,-5.6667,132.75,26.29,85,55,7.88,ID,1690525071
123,lodwar,3.1191,35.5973,27.78,48,61,5.16,KE,1690525071
124,faya-largeau,17.9257,19.1043,32.55,12,28,2.33,TD,1690525072
125,saint-philippe,-21.3585,55.7679,22.77,62,5,3.73,RE,1690525072
126,chonchi,-42.6128,-73.8092,9.56,97,100,2.75,CL,1690525073
127,mirnyy,62.5353,113.9611,25.13,33,81,4.92,RU,1690525075
128,embalenhle,-26.5333,29.0667,10.86,85,1,1.35,ZA,1690525077
129,tete,-16.1564,33.5867,20.05,64,7,0.51,MZ,1690525077
130,stanley,54.868,-1.6985,15.71,92,20,0.51,GB,1690525078
131,thompson,55.7435,-97.8558,8.09,93,40,2.06,CA,1690525078
132,dunedin,-45.8742,170.5036,7.67,71,99,0.45,NZ,1690525079
133,la ronge,55.1001,-105.2842,10.14,81,20,0.0,CA,1690525079
134,bowen,-20.0167,148.2333,22.48,71,72,7.21,AU,1690525080
135,bredasdorp,-34.5322,20.0403,8.8,91,5,1.75,ZA,1690525080
136,fort st. john,56.2499,-120.8529,11.94,87,75,3.09,CA,1690525081
137,arno,60.1167,18.6333,15.44,69,28,2.17,SE,1690525081
138,lihue,21.9789,-159.3672,26.77,78,20,7.72,US,1690525082
139,kamina,-8.7386,24.9906,19.63,38,3,1.48,CD,1690525082
140,edinburgh of the seven seas,-37.0676,-12.3116,10.69,58,24,5.36,SH,1690525083
141,papao,-17.75,-149.55,25.82,82,6,1.39,PF,1690525083
142,mahibadhoo,3.7833,72.9667,28.23,70,32,1.12,MV,1690525084
143,keflavik,64.0049,-22.5624,9.95,87,40,2.06,IS,1690525084
144,anaconda,46.1285,-112.9423,16.55,82,42,1.46,US,1690525085
145,obo,5.3998,26.4869,22.67,88,84,0.82,CF,1690525085
146,ostersund,63.1792,14.6357,12.25,35,75,0.51,SE,1690525087
147,funtua,11.5233,7.3081,22.36,89,100,3.57,NG,1690525087
148,tofol,5.3248,163.0078,27.88,83,100,4.12,FM,1690525088
149,mitsamiouli,-11.3847,43.2844,25.26,70,7,4.12,KM,1690525088
150,salalah,17.0151,54.0924,26.05,89,100,5.66,OM,1690525089
151,collie,-33.3667,116.15,13.81,77,74,5.44,AU,1690524868
152,maracacume,-2.0428,-45.9592,22.32,98,13,1.43,BR,1690525090
153,lorengau,-2.0226,147.2712,28.21,75,67,3.68,PG,1690525090
154,hami,42.8,93.45,42.02,6,1,2.3,CN,1690525091
155,phan rang-thap cham,11.5667,108.9833,34.32,51,89,6.39,VN,1690524878
156,tralee,52.2704,-9.7026,14.04,88,100,3.01,IE,1690525092
157,san luis,-33.295,-66.3356,8.3,53,35,0.83,AR,1690525006
158,utrik,11.2278,169.8474,28.24,81,72,8.74,MH,1690525093
159,filipstad,59.7124,14.1683,13.5,84,28,1.19,SE,1690525094
160,tazovsky,67.4667,78.7,18.56,81,87,1.75,RU,1690525095
161,island harbour,50.724,-1.2758,17.31,96,86,1.34,GB,1690525095
162,bulayevo,54.9056,70.4439,26.77,40,72,3.28,KZ,1690525096
163,mooloolaba,-26.6833,153.1167,20.04,68,46,3.97,AU,1690525097
164,isiro,2.7739,27.616,22.74,79,32,0.98,CD,1690525097
165,alaghsas,17.0187,8.0168,27.94,74,26,2.06,NE,1690524838
166,pauini,-7.7136,-66.9764,22.46,60,79,0.59,BR,1690525098
167,karasu,41.071,30.7854,21.57,71,11,0.84,TR,1690525099
168,tura,25.5198,90.2201,29.56,72,100,2.96,IN,1690525100
169,zakamensk,50.3741,103.2863,27.57,35,92,2.29,RU,1690525100
170,tlahualilo de zaragoza,26.1167,-103.45,27.92,31,2,8.75,MX,1690525101
171,pacific grove,36.6177,-121.9166,15.13,88,0,3.09,US,1690525101
172,mount pearl,47.5166,-52.7813,19.14,92,100,7.72,CA,1690525102
173,susuman,62.7833,148.1667,11.9,54,84,1.43,RU,1690525103
174,ribeira grande,38.5167,-28.7,23.22,100,75,7.2,PT,1690525103
175,hithadhoo,-0.6,73.0833,28.12,79,97,6.1,MV,1690525104
176,aoulef,26.9667,1.0833,34.96,10,4,4.19,DZ,1690525104
177,terenozek,45.05,64.9833,33.25,21,0,6.89,KZ,1690525105
178,zhanaozen,43.3,52.8,34.07,25,0,7.62,KZ,1690525105
179,aracuai,-16.8497,-42.0703,20.0,78,92,1.11,BR,1690525106
180,hammerfest,70.6634,23.6821,10.25,93,75,0.0,NO,1690525106
181,es castell,39.8795,4.2854,25.38,83,0,1.54,ES,1690525107
182,agogo,6.8,-1.0819,21.32,98,100,2.51,GH,1690524979
183,peterhead,57.5058,-1.7981,15.25,97,100,3.04,GB,1690525108
184,pyt-yakh,60.7499,72.8582,22.27,58,94,3.41,RU,1690525109
185,flin flon,54.7682,-101.865,11.62,74,99,1.05,CA,1690524918
186,wailua homesteads,22.0669,-159.378,26.44,83,20,7.72,US,1690525110
